run 1000ns
E = 0, D = 0, C = 0, B  = 0, A  = 0,     b4  = 0, b3 = 0, b2 = 0, b1 = 0, b0 = 0
E = 0, D = 0, C = 0, B  = 0, A  = 1,     b4  = 0, b3 = 0, b2 = 0, b1 = 0, b0 = 1
E = 0, D = 0, C = 0, B  = 1, A  = 0,     b4  = 0, b3 = 0, b2 = 0, b1 = 1, b0 = 0
E = 0, D = 0, C = 0, B  = 1, A  = 1,     b4  = 0, b3 = 0, b2 = 0, b1 = 1, b0 = 1
E = 0, D = 0, C = 1, B  = 0, A  = 0,     b4  = 0, b3 = 0, b2 = 1, b1 = 0, b0 = 0
E = 0, D = 0, C = 1, B  = 0, A  = 1,     b4  = 0, b3 = 0, b2 = 1, b1 = 0, b0 = 1
E = 0, D = 0, C = 1, B  = 1, A  = 0,     b4  = 0, b3 = 0, b2 = 1, b1 = 1, b0 = 0
E = 0, D = 0, C = 1, B  = 1, A  = 1,     b4  = 0, b3 = 0, b2 = 1, b1 = 1, b0 = 1
E = 0, D = 1, C = 0, B  = 0, A  = 0,     b4  = 0, b3 = 1, b2 = 0, b1 = 0, b0 = 0
E = 0, D = 1, C = 0, B  = 0, A  = 1,     b4  = 0, b3 = 1, b2 = 0, b1 = 0, b0 = 1
E = 1, D = 0, C = 0, B  = 0, A  = 0,     b4  = 0, b3 = 1, b2 = 0, b1 = 1, b0 = 0
E = 1, D = 0, C = 0, B  = 0, A  = 1,     b4  = 0, b3 = 1, b2 = 0, b1 = 1, b0 = 1
E = 1, D = 0, C = 0, B  = 1, A  = 0,     b4  = 0, b3 = 1, b2 = 1, b1 = 0, b0 = 0
E = 1, D = 0, C = 0, B  = 1, A  = 1,     b4  = 0, b3 = 1, b2 = 1, b1 = 0, b0 = 1
E = 1, D = 0, C = 1, B  = 0, A  = 0,     b4  = 0, b3 = 1, b2 = 1, b1 = 1, b0 = 0
E = 1, D = 0, C = 1, B  = 0, A  = 1,     b4  = 0, b3 = 1, b2 = 1, b1 = 1, b0 = 1
E = 1, D = 0, C = 1, B  = 1, A  = 0,     b4  = 1, b3 = 0, b2 = 0, b1 = 0, b0 = 0
E = 1, D = 0, C = 1, B  = 1, A  = 1,     b4  = 1, b3 = 0, b2 = 0, b1 = 0, b0 = 1
E = 1, D = 1, C = 0, B  = 0, A  = 0,     b4  = 1, b3 = 0, b2 = 0, b1 = 1, b0 = 0
E = 1, D = 1, C = 0, B  = 0, A  = 1,     b4  = 1, b3 = 0, b2 = 0, b1 = 1, b0 = 1
$finish called at time : 210 ns
