run 1000ns
A = 0, B = 0, C = 0, D = 0,  W = 0,  X = 0,  Y = 1,  Z = 1
A = 0, B = 0, C = 0, D = 1,  W = 0,  X = 1,  Y = 0,  Z = 0
A = 0, B = 0, C = 1, D = 0,  W = 0,  X = 1,  Y = 0,  Z = 1
A = 0, B = 0, C = 1, D = 1,  W = 0,  X = 1,  Y = 1,  Z = 0
A = 0, B = 1, C = 0, D = 0,  W = 0,  X = 1,  Y = 1,  Z = 1
A = 0, B = 1, C = 0, D = 1,  W = 1,  X = 0,  Y = 0,  Z = 0
A = 0, B = 1, C = 1, D = 0,  W = 1,  X = 0,  Y = 0,  Z = 1
A = 0, B = 1, C = 1, D = 1,  W = 1,  X = 0,  Y = 1,  Z = 0
A = 1, B = 0, C = 0, D = 0,  W = 1,  X = 0,  Y = 1,  Z = 1
A = 1, B = 0, C = 0, D = 1,  W = 1,  X = 1,  Y = 0,  Z = 0
$finish called at time : 110 ns
