 run 1000ns
en = 0, a = 0, b = 0, c = 0,   y= 00000000
en = 0, a = 0, b = 0, c = 1,   y= 00000000
en = 0, a = 0, b = 1, c = 0,   y= 00000000
en = 1, a = 0, b = 0, c = 0,   y= 00000001
en = 1, a = 0, b = 0, c = 1,   y= 00000010
en = 1, a = 0, b = 1, c = 0,   y= 00000100
en = 1, a = 0, b = 1, c = 1,   y= 00001000
en = 1, a = 1, b = 0, c = 0,   y= 00010000
en = 1, a = 1, b = 0, c = 1,   y= 00100000
en = 1, a = 1, b = 1, c = 0,   y= 01000000
en = 1, a = 1, b = 1, c = 1,   y= 10000000
$finish called at time : 120 ns
