 run 1000ns
en = 0, a = 0,b = 0,c = 0, d = 0,     y = 0000000000000000
en = 1, a = 0,b = 0,c = 0, d = 0,     y = 0000000000000001
en = 1, a = 0,b = 0,c = 0, d = 1,     y = 0000000000000010
en = 1, a = 0,b = 0,c = 1, d = 0,     y = 0000000000000100
en = 1, a = 0,b = 0,c = 1, d = 1,     y = 0000000000001000
en = 1, a = 0,b = 1,c = 0, d = 0,     y = 0000000000010000
en = 1, a = 0,b = 1,c = 0, d = 1,     y = 0000000000100000
en = 1, a = 0,b = 1,c = 1, d = 0,     y = 0000000001000000
en = 1, a = 0,b = 1,c = 1, d = 1,     y = 0000000010000000
en = 1, a = 1,b = 0,c = 0, d = 0,     y = 0000000100000000
en = 1, a = 1,b = 0,c = 0, d = 1,     y = 0000001000000000
en = 1, a = 1,b = 0,c = 1, d = 0,     y = 0000010000000000
en = 1, a = 1,b = 0,c = 1, d = 1,     y = 0000100000000000
en = 1, a = 1,b = 1,c = 0, d = 0,     y = 0001000000000000
en = 1, a = 1,b = 1,c = 0, d = 1,     y = 0010000000000000
en = 1, a = 1,b = 1,c = 1, d = 0,     y = 0100000000000000
en = 1, a = 1,b = 1,c = 1, d = 1,     y = 1000000000000000
$finish called at time : 210 ns
