run 1000ns
En = 0, A = 0, B = 0, C = 0, D = 0,   out = 0000000000000000
En = 0, A = 0, B = 0, C = 0, D = 1,   out = 0000000000000000
En = 1, A = 0, B = 0, C = 0, D = 0,   out = 0000000000000001
En = 1, A = 0, B = 0, C = 0, D = 1,   out = 0000000000000010
En = 1, A = 0, B = 0, C = 1, D = 0,   out = 0000000000000100
En = 1, A = 0, B = 0, C = 1, D = 1,   out = 0000000000001000
En = 1, A = 0, B = 1, C = 0, D = 0,   out = 0000000000010000
En = 1, A = 0, B = 1, C = 0, D = 1,   out = 0000000000100000
En = 1, A = 0, B = 1, C = 1, D = 0,   out = 0000000001000000
En = 1, A = 0, B = 1, C = 1, D = 1,   out = 0000000010000000
En = 1, A = 1, B = 0, C = 0, D = 0,   out = 0000000100000000
En = 1, A = 1, B = 0, C = 0, D = 1,   out = 0000001000000000
En = 1, A = 1, B = 0, C = 1, D = 0,   out = 0000010000000000
En = 1, A = 1, B = 0, C = 1, D = 1,   out = 0000100000000000
En = 1, A = 1, B = 1, C = 0, D = 0,   out = 0001000000000000
En = 1, A = 1, B = 1, C = 0, D = 1,   out = 0010000000000000
En = 1, A = 1, B = 1, C = 1, D = 0,   out = 0100000000000000
En = 1, A = 1, B = 1, C = 1, D = 1,   out = 1000000000000000
$finish called at time : 190 ns
