 run 1000ns
a = 0, b = 0, c = 0, d = 0,   f1 = 1, f2 = 0, f3 = 0
a = 0, b = 0, c = 0, d = 1,   f1 = 0, f2 = 0, f3 = 1
a = 0, b = 0, c = 1, d = 0,   f1 = 0, f2 = 1, f3 = 0
a = 0, b = 0, c = 1, d = 1,   f1 = 1, f2 = 0, f3 = 0
a = 0, b = 1, c = 0, d = 0,   f1 = 0, f2 = 1, f3 = 0
a = 0, b = 1, c = 0, d = 1,   f1 = 1, f2 = 0, f3 = 0
a = 0, b = 1, c = 1, d = 0,   f1 = 0, f2 = 0, f3 = 0
a = 0, b = 1, c = 1, d = 1,   f1 = 1, f2 = 0, f3 = 0
a = 1, b = 0, c = 0, d = 0,   f1 = 0, f2 = 1, f3 = 0
a = 1, b = 0, c = 0, d = 1,   f1 = 0, f2 = 1, f3 = 0
a = 1, b = 0, c = 1, d = 0,   f1 = 0, f2 = 0, f3 = 1
a = 1, b = 0, c = 1, d = 1,   f1 = 0, f2 = 0, f3 = 0
a = 1, b = 1, c = 0, d = 0,   f1 = 0, f2 = 0, f3 = 0
a = 1, b = 1, c = 0, d = 1,   f1 = 0, f2 = 0, f3 = 0
a = 1, b = 1, c = 1, d = 0,   f1 = 0, f2 = 0, f3 = 1
a = 1, b = 1, c = 1, d = 1,   f1 = 0, f2 = 0, f3 = 1
