run 1000ns
   S               I              Y
0000        0101010100101011      1
0001        0110011100101011      1
0010        0101011010101011      0
0011        0101010100101011      1
0100        0101101101001011      0
0101        0101011100101011      1
0110        0110101100101011      0
0111        0101101010100101      1
1000        0101011010011011      0
1001        0011100010101010      0
1010        0101010100101011      1
1011        0101010000101011      0
1100        0101010100101011      1
1101        0101011100101011      0
1110        0101110110101011      1
1111        0010101100101011      0
$finish called at time : 170 ns 
