Time resolution is 1 ps
   S                I                Y
 0000       0101010101010110         0
 0001       0101110111011101         0
 0010       0101010101010110         1
 0011       1001100101010101         0
 0100       0101011110101001         0
 0101       1101010010101010         1
 0110       0101101100101010         0
 0111       1010101110101101         1
 1000       0101010101010101         1
 1001       0101010101010101         0
 1010       0010010101010110         1
 1011       0101010110101010         0
 1100       1010110101110110         0
 1101       0010101010101110         1
 1110       0101100101010101         1
 1111       1001101011010001         1
$finish called at time : 170 ns
