run 1000ns
A = 0, B = 0, C = 0, Even_parity = 0, odd_parity = 1
A = 0, B = 0, C = 1, Even_parity = 1, odd_parity = 0
A = 0, B = 1, C = 0, Even_parity = 1, odd_parity = 0
A = 0, B = 1, C = 1, Even_parity = 0, odd_parity = 1
A = 1, B = 0, C = 0, Even_parity = 1, odd_parity = 0
A = 1, B = 0, C = 1, Even_parity = 0, odd_parity = 1
A = 1, B = 1, C = 0, Even_parity = 0, odd_parity = 1
A = 1, B = 1, C = 1, Even_parity = 1, odd_parity = 0
A = 0, B = 0, C = 1, Even_parity = 1, odd_parity = 0
A = 1, B = 0, C = 1, Even_parity = 0, odd_parity = 1
A = 1, B = 0, C = 0, Even_parity = 1, odd_parity = 0
A = 0, B = 0, C = 0, Even_parity = 0, odd_parity = 1
A = 0, B = 1, C = 1, Even_parity = 0, odd_parity = 1
A = 0, B = 0, C = 1, Even_parity = 1, odd_parity = 0
$finish called at time : 150 ns 
